Sample	Total_alignments	Percent_mapped	Percent_duplicates	Percent_properly_paired	Fraction_reads_pass_filter	Num_filtered_reads
SAMN10928628 	 25590076 	 99.42 	 0.15305097179078328 	 98.08 	 0.9784838926648965 	 25411622
SAMN10928622 	 29971506 	 99.36 	 0.135806388908185 	 97.88 	 0.9773573942656354 	 29772906
SAMN10928623 	 39880390 	 99.26 	 0.10058502436911976 	 97.39 	 0.9907530826188274 	 39562548
SAMN10928620 	 44637687 	 99.21 	 0.09367317800315236 	 97.46 	 0.9908986471219662 	 44267206
SAMN10928621 	 28998717 	 99.39 	 0.13638413727062476 	 97.9 	 0.9776449097857544 	 28791756
SAMN10928627 	 39536145 	 99.28 	 0.10243325443085055 	 97.54 	 0.9908814680290695 	 39215666
SAMN10928625 	 32026826 	 99.18 	 0.12345931501298318 	 97.62 	 0.9795556304102605 	 31802114
SAMN10928617 	 23145980 	 99.31 	 0.12232227799384601 	 97.74 	 0.9762212133819534 	 22976280
SAMN10928616 	 29800809 	 99.3 	 0.12865147385763923 	 97.91 	 0.973559878026334 	 29609634
SAMN10928615 	 36810847 	 99.12 	 0.09835231446861302 	 97.1 	 0.9866212865905224 	 36528262
SAMN10928613 	 46112690 	 99.21 	 0.09891782500652206 	 97.23 	 0.9904879205013886 	 45740958
SAMN10928612 	 26586808 	 99.32 	 0.12434636756695275 	 97.78 	 0.9791976635665072 	 26414656
SAMN10928611 	 24217196 	 99.36 	 0.1542856571834328 	 97.77 	 0.9766831004763415 	 24041160
SAMN10928610 	 28281882 	 99.02 	 0.13415836329421077 	 97.5 	 0.9759803117537329 	 28085356
SAMN10928619 	 37624476 	 99.3 	 0.10626579889112608 	 97.63 	 0.9910458620851523 	 37326458
SAMN10928618 	 41869119 	 99.05 	 0.10041343358574131 	 97.23 	 0.9905628913207526 	 41532836
SAMN10928601 	 39468797 	 99.11 	 0.13291803649348624 	 97.49 	 0.9882128390926458 	 39174848
SAMN10928602 	 24565602 	 99.26 	 0.14522823417883265 	 97.89 	 0.9785925623852085 	 24395242
SAMN10928603 	 33326743 	 99.26 	 0.10699398378053325 	 97.62 	 0.9872690170992965 	 33085150
SAMN10928604 	 28127380 	 98.95 	 0.13853352143000877 	 97.35 	 0.9770869840068487 	 27926596
SAMN10928605 	 32944195 	 99.16 	 0.1316583695549398 	 97.78 	 0.9734441552464085 	 32756536
SAMN10928606 	 26562754 	 99.32 	 0.14320307299461493 	 97.85 	 0.9776178293511087 	 26375126
SAMN10928607 	 38211202 	 99.06 	 0.10300586723233673 	 97.51 	 0.9915448398272577 	 37917692
SAMN10928608 	 31026986 	 99.23 	 0.1298995332643654 	 97.83 	 0.9738252905708091 	 30838106
SAMN10928609 	 38743512 	 99.23 	 0.09245999691509639 	 97.5 	 0.987477189392264 	 38472056
SAMN10928626 	 40047897 	 99.22 	 0.10359829880705097 	 97.32 	 0.9907762287790183 	 39722476
SAMN10928624 	 39554935 	 99.25 	 0.10256538153835924 	 97.23 	 0.9904127420611067 	 39226810
SAMN10928629 	 42410744 	 99.24 	 0.101232791388899 	 97.35 	 0.9909448037981929 	 42065270
SAMN10928614 	 30759525 	 99.13 	 0.12380395991160462 	 97.66 	 0.9735717909386484 	 30543934
