BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	ArrayExpress-SPECIES	Alias	ENA_CHECKLIST	use_species
PRJEB1254	ERR715521	WGS	250	14951002750	SAMEA2661275	5698199156	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX659443	Illumina HiSeq 2000	11649587	PAIRED	RANDOM	GENOMIC	Petrotilapia_genalutea	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661275	ERP002088	missing	ERS510489	2015-01-08	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2015-01-08T09:40:48Z	2018-03-09T11:36:51Z	public	ERS510489	Petrotilapia genalutea	NA	Petrotilapia_genalutea-sc-2016585	ERC000011	0
PRJEB15289	ERR1749401	WGS	302	24696117950	SAMEA4033249	11217392412	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818581	HiSeq X Ten	DN461233J:F1	PAIRED	RANDOM	GENOMIC	Petrotilapia_genalutea	ILLUMINA	2016-12-07T00:00:00Z	c9c9ec90-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	NA	Petrotilapia genalutea	NA	NA	0
PRJEB15289	ERR1749402	WGS	302	25420674236	SAMEA4032036	11620036969	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818582	HiSeq X Ten	DN461233J:G1	PAIRED	RANDOM	GENOMIC	Petrotilapia_genalutea	ILLUMINA	2016-12-07T00:00:00Z	c9d25100-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	NA	Petrotilapia genalutea	NA	NA	0
PRJEB15289	ERR1749404	WGS	302	30051580590	SAMEA4032037	13314073105	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818584	HiSeq X Ten	DN461233J:A2	PAIRED	RANDOM	GENOMIC	Petrotilapia_genalutea	ILLUMINA	2016-12-07T00:00:00Z	c9e47970-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	NA	Petrotilapia genalutea	NA	NA	0
PRJEB15289	ERR1749405	WGS	302	23228266278	SAMEA4033251	10432162169	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818585	HiSeq X Ten	DN461233J:B2	PAIRED	RANDOM	GENOMIC	Petrotilapia_genalutea	ILLUMINA	2016-12-07T00:00:00Z	c9ed04f0-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	NA	Petrotilapia genalutea	NA	NA	0
PRJEB15289	ERR1749407	WGS	302	28098976638	SAMEA4033252	12481404491	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818587	HiSeq X Ten	DN461233J:D2	PAIRED	RANDOM	GENOMIC	Petrotilapia_genalutea	ILLUMINA	2016-12-07T00:00:00Z	c9fe9120-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	NA	Petrotilapia genalutea	NA	NA	0
PRJEB15289	ERR1749408	WGS	302	29233565270	SAMEA4032039	12878861413	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818588	HiSeq X Ten	DN461233J:E2	PAIRED	RANDOM	GENOMIC	Petrotilapia_genalutea	ILLUMINA	2016-12-07T00:00:00Z	ca0743b0-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	NA	Petrotilapia genalutea	NA	NA	0
PRJEB15289	ERR1749409	WGS	302	25665482382	SAMEA4033253	11654774632	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818589	HiSeq X Ten	DN461233J:F2	PAIRED	RANDOM	GENOMIC	Petrotilapia_genalutea	ILLUMINA	2016-12-07T00:00:00Z	ca0fa820-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	NA	Petrotilapia genalutea	NA	NA	0
PRJEB15289	ERR1749396	WGS	302	25012334600	SAMEA4032033	11452982780	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818576	HiSeq X Ten	DN461233J:A1	PAIRED	RANDOM	GENOMIC	Petrotilapia_genalutea	ILLUMINA	2016-12-07T00:00:00Z	c97c1ab0-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	NA	Petrotilapia genalutea	NA	NA	0
PRJEB15289	ERR1749397	WGS	302	28152291114	SAMEA4033247	12702777538	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818577	HiSeq X Ten	DN461233J:B1	PAIRED	RANDOM	GENOMIC	Petrotilapia_genalutea	ILLUMINA	2016-12-07T00:00:00Z	c997e010-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	NA	Petrotilapia genalutea	NA	NA	0
