transcript	gene	cds_length	mrna_length	is_longest	f0	f2	f3	f4
rna-XM_020702194.2	gene-LOC110014915	651	33130	yes	408	114	19	110
rna-XM_023953150.1	gene-LOC110017276	711	2590	yes	455	119	7	130
rna-XM_023953492.1	gene-gemin6	507	1914	yes	320	96	4	87
rna-XM_023953480.1	gene-sos1	3915	28103	no	2479	762	74	600
rna-XM_023953486.1	gene-sos1	3636	28103	no	2306	745	71	514
rna-XM_023953483.1	gene-sos1	3870	28103	no	2452	762	72	584
rna-XM_023953484.1	gene-sos1	3705	28103	no	2350	751	73	531
rna-XM_023953478.1	gene-sos1	3939	28103	yes	2496	768	74	601
rna-XM_023953482.1	gene-sos1	3894	28102	no	2467	764	72	591
rna-XM_023953490.1	gene-tmem178a	960	13990	yes	615	157	17	171
rna-XM_004084719.4	gene-LOC101160286	912	5785	yes	595	176	17	124
rna-XM_011493042.3	gene-eif4a3	1245	4756	yes	794	232	33	186
rna-XM_004084717.4	gene-eif4a3	1221	4755	no	778	228	34	181
rna-XM_023953498.1	gene-LOC105358811	1482	15981	yes	957	221	11	293
rna-XM_023953502.1	gene-LOC105358811	1407	15981	no	910	201	13	283
rna-XM_023953505.1	gene-LOC101163304	1176	13906	no	764	190	31	191
rna-XM_004085992.4	gene-LOC101163304	1260	4850	yes	817	200	33	210
rna-XM_023953511.1	gene-LOC101160041	468	2706	yes	296	80	3	89
rna-XM_023953509.1	gene-LOC101163552	2727	18766	no	1757	476	14	480
rna-XM_023953507.1	gene-LOC101163552	2763	18681	yes	1780	484	14	485
rna-XM_023953532.1	gene-aars2	1626	9217	no	1029	309	21	267
rna-XM_023953521.1	gene-aars2	2961	17102	yes	1861	550	35	515
rna-XM_023953522.1	gene-aars2	2685	16833	no	1691	499	35	460
rna-XM_023953525.1	gene-aars2	2619	13578	no	1650	470	30	469
rna-XM_023953540.1	gene-LOC101162579	2094	20375	yes	1357	388	28	321
rna-XM_023953543.1	gene-LOC111947154	717	17899	yes	454	147	8	108
rna-XM_023953549.1	gene-mrps28	534	909	yes	326	89	1	118
rna-XM_020701127.2	gene-sde2	1203	4958	yes	763	217	3	220
rna-XM_011494140.3	gene-sde2	1158	4946	no	733	206	3	216
rna-XM_023953538.1	gene-mtif2	2121	11203	no	1344	384	27	366
rna-XM_023953535.1	gene-mtif2	2124	11203	yes	1346	385	27	366
rna-XM_023953556.1	gene-LOC101174888	5844	28972	no	3767	1034	98	945
rna-XM_023953555.1	gene-LOC101174888	5865	28972	yes	3781	1037	98	949
rna-XM_023953559.1	gene-LOC101174888	5583	28971	no	3601	983	92	907
rna-XM_023953562.1	gene-LOC101174888	4719	22395	no	3032	849	70	768
rna-XM_023953567.1	gene-LOC101164035	7002	25128	yes	4459	1435	89	1019
rna-XM_023953570.1	gene-LOC101164035	6918	21326	no	4401	1422	88	1007
rna-XM_023953573.1	gene-polr3f	951	3009	yes	611	187	19	134
rna-XM_020701342.2	gene-dzank1	2337	13165	yes	1486	387	12	452
rna-XM_020701343.2	gene-dzank1	2334	13162	no	1484	386	12	452
rna-XM_020701344.2	gene-dzank1	2325	13162	no	1478	385	12	450
rna-XM_020701346.2	gene-dzank1	1968	12683	no	1255	319	12	382
rna-XM_020701345.2	gene-dzank1	2010	12921	no	1276	329	11	394
rna-XM_023953587.1	gene-kat14	2334	7919	no	1487	414	25	408
rna-XM_023953580.1	gene-kat14	2400	7919	yes	1528	424	25	423
rna-XM_023953584.1	gene-kat14	2400	7912	no	1528	424	25	423
rna-XM_023953626.1	gene-LOC101164779	2541	25927	no	1647	454	46	394
rna-XM_023953622.1	gene-LOC101164779	2544	25926	yes	1649	455	46	394
rna-XM_023953631.1	gene-LOC101164779	2505	25925	no	1626	442	46	391
rna-XM_023953632.1	gene-LOC101164779	993	7513	no	647	171	16	159
rna-XM_023953642.1	gene-LOC101156869	762	7044	no	471	136	10	145
rna-XM_023953639.1	gene-LOC101156869	987	9204	yes	617	150	8	212
rna-XM_004085357.4	gene-psen2	1266	5029	no	833	187	30	216
rna-XM_020700773.2	gene-psen2	1377	4834	no	904	202	30	241
rna-XM_020700772.2	gene-psen2	1380	4828	yes	906	202	30	242
rna-XM_020700774.2	gene-psen2	1266	4370	no	833	187	30	216
rna-XM_023953646.1	gene-LOC101162981	2886	24986	no	1874	484	66	462
rna-XM_023953645.1	gene-LOC101162981	2922	24986	yes	1895	491	66	470
rna-XM_023953651.1	gene-LOC101175293	2259	6245	yes	1456	363	15	425
rna-XM_023953653.1	gene-LOC101175293	2175	6240	no	1402	352	14	407
rna-XM_023953656.1	gene-LOC101175293	2115	5830	no	1371	335	15	394
rna-XM_004085307.4	gene-LOC101162421	609	3506	yes	394	111	14	90
rna-XM_023953678.1	gene-LOC105358735	1293	24497	yes	820	252	10	211
rna-XM_023953674.1	gene-LOC111947169	1326	4553	no	865	211	6	244
rna-XM_023953666.1	gene-LOC111947169	1326	4553	yes	865	211	6	244
rna-XM_023953699.1	gene-LOC101168917	2178	7973	yes	1364	401	16	397
rna-XM_023953700.1	gene-LOC101168917	2118	7971	no	1327	390	16	385
rna-XM_020700597.2	gene-LOC101168917	1611	3433	no	1018	298	12	283
rna-XM_020700598.2	gene-LOC101168917	1551	3431	no	981	287	12	271
rna-XM_023953742.1	gene-LOC101168674	471	2022	yes	300	96	9	66
rna-XM_020700595.2	gene-esf1	2178	9805	yes	1394	482	12	290
rna-XM_023953693.1	gene-esf1	2175	9554	no	1392	481	12	290
rna-XM_023953685.1	gene-esf1	2178	9549	no	1394	482	12	290
rna-XM_004085199.3	gene-esf1	2178	9449	no	1394	482	12	290
rna-XM_023953723.1	gene-ndufaf5	1065	5130	yes	666	193	11	195
rna-XM_023953728.1	gene-ndufaf5	1062	5130	no	664	192	11	195
rna-XM_023953736.1	gene-ndufaf5	1023	5119	no	640	191	11	181
rna-XM_011493780.3	gene-LOC105358217	693	1234	yes	440	111	10	132
rna-XM_004085374.4	gene-LOC101160959	1098	6257	yes	671	265	4	158
rna-XM_020700793.2	gene-LOC101160959	1041	6256	no	638	252	4	147
rna-XM_020700794.2	gene-LOC105358218	501	1478	yes	310	97	2	92
rna-XM_023953746.1	gene-kif16b	4504	37714	yes	2873	632	28	970
rna-XM_004085415.4	gene-snrpb2	654	3230	yes	428	117	11	98
rna-XM_004085417.4	gene-LOC101174562	1143	5626	yes	724	184	19	216
