Sample	Total_alignments	Percent_mapped	Percent_duplicates	Percent_properly_paired	Fraction_reads_pass_filter	Num_filtered_reads
SAMN10928557 	 56480235 	 98.85 	 0.09080804993109537 	 95.07 	 0.9858162154894364 	 55371130
SAMN10928556 	 41106865 	 97.06 	 0.0981124685621246 	 92.47 	 0.9904386433341053 	 40240080
SAMN10928559 	 38961316 	 98.98 	 0.10117337925649124 	 95.61 	 0.9903831520304112 	 38108470
SAMN10928558 	 43392647 	 94.77 	 0.09472330646249813 	 90.13 	 0.9903470390415136 	 42507020
SAMN10928570 	 31841066 	 99.01 	 0.10609330730321655 	 95.41 	 0.9868353099896029 	 31230756
SAMN10928564 	 38083123 	 99.09 	 0.1014356149310549 	 95.49 	 0.990589062234769 	 37289804
SAMN10928565 	 31434854 	 99.21 	 0.13526736914381723 	 95.67 	 0.9755255816956478 	 30823116
SAMN10928566 	 24526341 	 99.12 	 0.14476766020663254 	 95.4 	 0.9767758722626257 	 24044688
SAMN10928567 	 27203542 	 99.24 	 0.13131264303743975 	 96.18 	 0.9748174133270199 	 26672492
SAMN10928560 	 31313947 	 98.41 	 0.1250453352303368 	 94.86 	 0.9728776438689427 	 30689758
SAMN10928561 	 35172706 	 98.83 	 0.11533900746789286 	 94.99 	 0.9919757093712731 	 34448150
SAMN10928563 	 33555859 	 99.11 	 0.10035228125139041 	 95.55 	 0.9864855438946034 	 32896146
SAMN10928568 	 30572433 	 98.69 	 0.12514862654208778 	 95.31 	 0.9791559262179538 	 29962986
SAMN10928569 	 31896971 	 98.97 	 0.03841671988227346 	 94.8 	 0.9825576256988824 	 31262260
SAMN10928562 	 33803117 	 98.56 	 0.0967355466065452 	 94.96 	 0.986898621641398 	 33124818
