transcript	pN	pS	dN	dS	mk.raw.p.value	mk.odds.ni	dos
rna-XM_011620148.2	2.0	7.0	0.0	0.0	1.0	nan	NA
rna-XM_029833981.1	5.0	10.0	0.0	0.0	1.0	nan	NA
rna-XM_029842668.1	1.0	2.0	0.0	0.0	1.0	nan	NA
rna-XM_029842802.1	0.0	0.0	0.0	0.0	1.0	nan	NA
rna-XM_029842949.1	2.0	0.0	0.0	0.0	1.0	nan	NA
rna-XM_029847951.1	0.0	0.0	0.0	0.0	1.0	nan	NA
rna-XM_029845440.1	0.0	0.0	0.0	0.0	1.0	nan	NA
rna-XM_029845443.1	0.0	0.0	0.0	0.0	1.0	nan	NA
rna-XM_029845412.1	0.0	0.0	0.0	0.0	1.0	nan	NA
rna-XM_029845364.1	5.0	5.0	0.0	0.0	1.0	nan	NA
rna-XM_011620650.2	1.0	1.0	0.0	0.0	1.0	nan	NA
rna-XM_029845197.1	6.0	9.0	0.0	0.0	1.0	nan	NA
rna-XM_029845351.1	2.0	0.0	0.0	0.0	1.0	nan	NA
rna-XM_029845356.1	0.0	0.0	0.0	0.0	1.0	nan	NA
rna-XM_029845337.1	4.0	2.0	0.0	0.0	1.0	nan	NA
rna-XM_029845319.1	4.0	2.0	0.0	0.0	1.0	nan	NA
rna-XM_029845330.1	4.0	2.0	0.0	0.0	1.0	nan	NA
rna-XM_029845170.1	4.0	6.0	0.0	0.0	1.0	nan	NA
rna-XM_029845163.1	4.0	6.0	0.0	0.0	1.0	nan	NA
rna-XM_029845431.1	0.0	1.0	0.0	0.0	1.0	nan	NA
rna-XM_029845374.1	2.0	0.0	0.0	0.0	1.0	nan	NA
rna-XM_029845383.1	5.0	2.0	0.0	0.0	1.0	nan	NA
rna-XM_029845391.1	5.0	2.0	0.0	0.0	1.0	nan	NA
rna-XM_029845403.1	5.0	2.0	0.0	0.0	1.0	nan	NA
rna-XM_029845396.1	5.0	2.0	0.0	0.0	1.0	nan	NA
rna-XM_029845379.1	3.0	6.0	0.0	0.0	1.0	nan	NA
rna-XM_029845297.1	1.0	1.0	0.0	0.0	1.0	nan	NA
rna-XM_029845303.1	5.0	3.0	0.0	0.0	1.0	nan	NA
rna-XM_029845242.1	4.0	1.0	0.0	0.0	1.0	nan	NA
rna-XM_029845248.1	4.0	1.0	0.0	0.0	1.0	nan	NA
rna-XM_029845238.1	4.0	1.0	0.0	0.0	1.0	nan	NA
rna-XM_029845255.1	4.0	1.0	0.0	0.0	1.0	nan	NA
rna-XM_029845193.1	0.0	1.0	0.0	0.0	1.0	nan	NA
rna-XM_029845181.1	1.0	1.0	0.0	0.0	1.0	nan	NA
rna-XM_029845186.1	1.0	1.0	0.0	0.0	1.0	nan	NA
rna-XM_029845184.1	1.0	1.0	0.0	0.0	1.0	nan	NA
rna-XM_029845282.1	0.0	6.0	0.0	0.0	1.0	nan	NA
rna-XM_003976888.3	1.0	3.0	1.0	1.0	1.0	0.3333333333333333	0.25
rna-XM_029845203.1	1.0	5.0	1.0	1.0	0.46428571428571425	0.2	0.33333333333333337
rna-XM_003979289.2	4.0	1.0	0.0	0.0	1.0	nan	NA
rna-XM_029845288.1	6.0	1.0	0.0	0.0	1.0	nan	NA
rna-XM_029845284.1	1.0	1.0	0.0	0.0	1.0	nan	NA
rna-XM_029845214.1	5.0	8.0	0.0	1.0	1.0	inf	-0.38461538461538464
rna-XM_029845216.1	4.0	8.0	0.0	1.0	1.0	inf	-0.3333333333333333
rna-XM_029845227.1	4.0	8.0	0.0	1.0	1.0	inf	-0.3333333333333333
rna-XM_029845232.1	4.0	8.0	0.0	1.0	1.0	inf	-0.3333333333333333
rna-XM_029845221.1	4.0	8.0	0.0	1.0	1.0	inf	-0.3333333333333333
rna-XM_029845343.1	1.0	4.0	0.0	0.0	1.0	nan	NA
rna-XM_003977177.3	3.0	2.0	0.0	0.0	1.0	nan	NA
rna-XM_003977176.3	2.0	1.0	0.0	1.0	1.0	inf	-0.6666666666666666
rna-XM_003977175.3	0.0	0.0	0.0	0.0	1.0	nan	NA
rna-XM_003977180.3	0.0	1.0	0.0	0.0	1.0	nan	NA
rna-XM_003977179.3	4.0	10.0	0.0	0.0	1.0	nan	NA
rna-XM_029845455.1	3.0	0.0	0.0	0.0	1.0	nan	NA
rna-XM_029845450.1	3.0	0.0	0.0	0.0	1.0	nan	NA
rna-XM_029845274.1	2.0	2.0	1.0	2.0	1.0	2.0	-0.16666666666666669
rna-XM_029845271.1	1.0	2.0	1.0	2.0	1.0	1.0	0.0
rna-XM_029845263.1	2.0	2.0	1.0	2.0	1.0	2.0	-0.16666666666666669
rna-XM_029844046.1	5.0	2.0	0.0	0.0	1.0	nan	NA
rna-XM_029844032.1	5.0	2.0	0.0	0.0	1.0	nan	NA
rna-XM_029844009.1	5.0	2.0	0.0	0.0	1.0	nan	NA
rna-XM_029844054.1	5.0	2.0	0.0	0.0	1.0	nan	NA
rna-XM_029844023.1	5.0	2.0	0.0	0.0	1.0	nan	NA
rna-XM_029844015.1	5.0	2.0	0.0	0.0	1.0	nan	NA
rna-XM_029844040.1	5.0	2.0	0.0	0.0	1.0	nan	NA
rna-XM_029844057.1	4.0	1.0	0.0	0.0	1.0	nan	NA
rna-XM_029844063.1	4.0	1.0	0.0	0.0	1.0	nan	NA
rna-XM_029844075.1	1.0	5.0	0.0	0.0	1.0	nan	NA
rna-XM_029844070.1	1.0	5.0	0.0	0.0	1.0	nan	NA
rna-XM_029841343.1	19.0	13.0	2.0	0.0	0.5133689839572193	0.0	0.40625
rna-XM_029841348.1	19.0	5.0	0.0	0.0	1.0	nan	NA
rna-XM_029850645.1	18.0	6.0	2.0	0.0	1.0	0.0	0.25
rna-XM_029850641.1	18.0	6.0	2.0	0.0	1.0	0.0	0.25
rna-XM_029850649.1	12.0	5.0	2.0	0.0	1.0	0.0	0.2941176470588235
rna-XM_029850719.1	1.0	2.0	1.0	2.0	1.0	1.0	0.0
rna-XM_029850709.1	1.0	2.0	1.0	2.0	1.0	1.0	0.0
rna-XM_029850804.1	0.0	0.0	0.0	0.0	1.0	nan	NA
rna-XM_029850626.1	20.0	12.0	0.0	0.0	1.0	nan	NA
rna-XM_011620962.2	20.0	12.0	0.0	0.0	1.0	nan	NA
rna-XM_029850631.1	20.0	11.0	0.0	0.0	1.0	nan	NA
rna-XM_029850629.1	20.0	12.0	0.0	0.0	1.0	nan	NA
rna-XM_029850617.1	20.0	12.0	0.0	0.0	1.0	nan	NA
rna-XM_029850656.1	12.0	14.0	2.0	0.0	0.48148148148148145	0.0	0.5384615384615384
rna-XM_029850763.1	7.0	3.0	2.0	1.0	1.0	1.1666666666666667	-0.033333333333333326
rna-XM_011620095.2	8.0	5.0	0.0	0.0	1.0	nan	NA
rna-XM_003978723.3	6.0	5.0	1.0	0.0	1.0	0.0	0.4545454545454546
rna-XM_029850670.1	6.0	8.0	2.0	2.0	1.0	0.75	0.07142857142857145
rna-XM_029850680.1	6.0	8.0	2.0	2.0	1.0	0.75	0.07142857142857145
rna-XM_029850676.1	6.0	8.0	2.0	2.0	1.0	0.75	0.07142857142857145
rna-XM_029850664.1	6.0	8.0	2.0	2.0	1.0	0.75	0.07142857142857145
rna-XM_003979283.3	2.0	7.0	1.0	0.0	0.3	0.0	0.7777777777777778
rna-XM_029850741.1	4.0	4.0	0.0	0.0	1.0	nan	NA
rna-XM_029850746.1	4.0	4.0	0.0	0.0	1.0	nan	NA
rna-XM_029850751.1	4.0	4.0	0.0	0.0	1.0	nan	NA
rna-XM_029850754.1	4.0	4.0	0.0	0.0	1.0	nan	NA
rna-XM_029832961.1	1.0	2.0	0.0	0.0	1.0	nan	NA
rna-NM_001037951.1	1.0	2.0	0.0	0.0	1.0	nan	NA
rna-XM_029850779.1	2.0	2.0	0.0	0.0	1.0	nan	NA
rna-XM_003978138.3	2.0	2.0	0.0	0.0	1.0	nan	NA
rna-XM_011619460.2	2.0	2.0	0.0	0.0	1.0	nan	NA
rna-XM_003978137.3	0.0	1.0	1.0	0.0	1.0	0.0	1.0
rna-XM_003978136.3	2.0	3.0	1.0	0.0	1.0	0.0	0.6
rna-XM_011619459.2	0.0	7.0	0.0	0.0	1.0	nan	NA
rna-XM_011619458.2	0.0	7.0	0.0	0.0	1.0	nan	NA
rna-XM_011619457.2	0.0	0.0	0.0	2.0	1.0	nan	NA
rna-XM_003978155.3	0.0	0.0	0.0	2.0	1.0	nan	NA
rna-XM_029833329.1	2.0	7.0	0.0	0.0	1.0	nan	NA
rna-XM_029833320.1	2.0	7.0	0.0	0.0	1.0	nan	NA
rna-XM_029833333.1	0.0	7.0	0.0	0.0	1.0	nan	NA
rna-XM_029833346.1	8.0	2.0	0.0	0.0	1.0	nan	NA
rna-XM_029843467.1	1.0	1.0	0.0	0.0	1.0	nan	NA
rna-XM_029851385.1	6.0	8.0	1.0	0.0	0.4666666666666667	0.0	0.5714285714285714
rna-XM_029851389.1	3.0	8.0	1.0	0.0	0.3333333333333333	0.0	0.7272727272727273
rna-XM_029851391.1	3.0	8.0	1.0	0.0	0.3333333333333333	0.0	0.7272727272727273
rna-XM_029843486.1	1.0	1.0	2.0	0.0	1.0	0.0	0.5
rna-XM_003978135.3	3.0	7.0	2.0	1.0	0.5104895104895105	0.21428571428571427	0.36666666666666664
rna-XM_011619455.2	3.0	7.0	2.0	1.0	0.5104895104895105	0.21428571428571427	0.36666666666666664
rna-XM_003978150.3	5.0	6.0	0.0	0.0	1.0	nan	NA
rna-XM_003978149.3	6.0	6.0	0.0	0.0	1.0	nan	NA
rna-XM_029836528.1	22.0	19.0	2.0	0.0	0.4950166112956811	0.0	0.46341463414634143
rna-XM_029836523.1	22.0	19.0	2.0	0.0	0.4950166112956811	0.0	0.46341463414634143
rna-XM_003978134.3	1.0	5.0	0.0	0.0	1.0	nan	NA
rna-XM_003978148.3	1.0	3.0	0.0	0.0	1.0	nan	NA
rna-XM_011619451.2	0.0	0.0	0.0	0.0	1.0	nan	NA
rna-XM_011619450.2	0.0	0.0	0.0	0.0	1.0	nan	NA
rna-XM_029840380.1	0.0	0.0	0.0	0.0	1.0	nan	NA
