BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMEA3334441,DNA_343,GCF_000738735.5,ERR849862,Corvus_cornix,PRJEB9057
SAMEA3334442,DNA_344,GCF_000738735.5,ERR849863,Corvus_cornix,PRJEB9057
SAMEA3334443,DNA_348,GCF_000738735.5,ERR849867,Corvus_cornix,PRJEB9057
SAMEA3334444,DNA_351,GCF_000738735.5,ERR849870,Corvus_cornix,PRJEB9057
SAMEA3334445,DNA_354,GCF_000738735.5,ERR849873,Corvus_cornix,PRJEB9057
SAMEA3334446,DNA_360,GCF_000738735.5,ERR849879,Corvus_cornix,PRJEB9057
SAMEA3334447,DNA_362,GCF_000738735.5,ERR849881,Corvus_cornix,PRJEB9057
SAMEA3334448,DNA_364,GCF_000738735.5,ERR849883,Corvus_cornix,PRJEB9057
SAMEA3334449,DNA_381,GCF_000738735.5,ERR849900,Corvus_cornix,PRJEB9057
SAMEA3334450,DNA_382,GCF_000738735.5,ERR849901,Corvus_cornix,PRJEB9057
SAMEA3334451,DNA_386,GCF_000738735.5,ERR849905,Corvus_cornix,PRJEB9057
SAMEA3334452,DNA_390,GCF_000738735.5,ERR849909,Corvus_cornix,PRJEB9057
SAMEA3334453,DNA_394,GCF_000738735.5,ERR849913,Corvus_cornix,PRJEB9057
SAMEA3334454,DNA_395,GCF_000738735.5,ERR849914,Corvus_cornix,PRJEB9057
SAMEA3334455,DNA_398,GCF_000738735.5,ERR849917,Corvus_cornix,PRJEB9057
SAMEA3334456,DNA_399,GCF_000738735.5,ERR849918,Corvus_cornix,PRJEB9057
SAMEA3334457,DNA_403,GCF_000738735.5,ERR849922,Corvus_cornix,PRJEB9057
SAMEA3334458,DNA_407,GCF_000738735.5,ERR849926,Corvus_cornix,PRJEB9057
SAMEA3334459,DNA_411,GCF_000738735.5,ERR849930,Corvus_cornix,PRJEB9057
SAMEA3334460,DNA_412,GCF_000738735.5,ERR849931,Corvus_cornix,PRJEB9057
SAMEA3334461,DNA_418,GCF_000738735.5,ERR849937,Corvus_cornix,PRJEB9057
SAMEA3334462,DNA_423,GCF_000738735.5,ERR849942,Corvus_cornix,PRJEB9057
SAMEA3334463,DNA_426,GCF_000738735.5,ERR849945,Corvus_cornix,PRJEB9057
SAMEA3334464,DNA_430,GCF_000738735.5,ERR849949,Corvus_cornix,PRJEB9057
SAMEA3334465,DNA_431,GCF_000738735.5,ERR849950,Corvus_cornix,PRJEB9057
SAMEA3334466,DNA_432,GCF_000738735.5,ERR849951,Corvus_cornix,PRJEB9057
SAMEA3334467,DNA_434,GCF_000738735.5,ERR849953,Corvus_cornix,PRJEB9057
SAMEA3334468,DNA_435,GCF_000738735.5,ERR849954,Corvus_cornix,PRJEB9057
SAMEA3334469,DNA_436,GCF_000738735.5,ERR849955,Corvus_cornix,PRJEB9057
SAMEA3334470,DNA_437,GCF_000738735.5,ERR849956,Corvus_cornix,PRJEB9057
SAMEA3334471,DNA_438,GCF_000738735.5,ERR849957,Corvus_cornix,PRJEB9057
SAMEA3334472,DNA_439,GCF_000738735.5,ERR849958,Corvus_cornix,PRJEB9057
SAMEA3334473,DNA_440,GCF_000738735.5,ERR849959,Corvus_cornix,PRJEB9057
SAMEA3334474,DNA_441,GCF_000738735.5,ERR849960,Corvus_cornix,PRJEB9057
SAMEA3334475,DNA_442,GCF_000738735.5,ERR849961,Corvus_cornix,PRJEB9057
SAMEA3334476,DNA_443,GCF_000738735.5,ERR849962,Corvus_cornix,PRJEB9057
SAMEA3334477,DNA_445,GCF_000738735.5,ERR849964,Corvus_cornix,PRJEB9057
SAMEA3334478,DNA_446,GCF_000738735.5,ERR849965,Corvus_cornix,PRJEB9057
SAMEA3334479,DNA_447,GCF_000738735.5,ERR849966,Corvus_cornix,PRJEB9057
SAMEA3334480,DNA_448,GCF_000738735.5,ERR849967,Corvus_cornix,PRJEB9057
SAMEA3334481,DNA_450,GCF_000738735.5,ERR849969,Corvus_cornix,PRJEB9057
SAMEA3334482,DNA_451,GCF_000738735.5,ERR849970,Corvus_cornix,PRJEB9057
SAMEA3334483,DNA_452,GCF_000738735.5,ERR849971,Corvus_cornix,PRJEB9057
SAMEA3334484,DNA_454,GCF_000738735.5,ERR849973,Corvus_cornix,PRJEB9057
SAMEA3334485,DNA_455,GCF_000738735.5,ERR849974,Corvus_cornix,PRJEB9057
SAMEA3334486,DNA_456,GCF_000738735.5,ERR849975,Corvus_cornix,PRJEB9057
SAMEA3334487,DNA_457,GCF_000738735.5,ERR849976,Corvus_cornix,PRJEB9057
SAMEA3334488,DNA_458,GCF_000738735.5,ERR849977,Corvus_cornix,PRJEB9057
SAMEA3334489,DNA_459,GCF_000738735.5,ERR849978,Corvus_cornix,PRJEB9057
SAMEA3334490,DNA_460,GCF_000738735.5,ERR849979,Corvus_cornix,PRJEB9057
